,类别,类型,题目,难度,选项,答案
27,Python基础,单选题,"程序如下：

try:
    number = int(input(""请输入数字：""))
    print(""number:"",number)
    print(""=======hello======"")
except Exception as e:
    # 报错错误日志
    print(""打印异常详情信息： "",e)
else:
    print(""没有异常"")
finally:
#关闭资源
    print(""finally"")
print(""end"")

输入的是 1a 结果是：",1,"['number: 1
打印异常详情信息：  invalid literal for int() with base 10:\n finally\n end', '打印异常详情信息：  invalid literal for int() with base 10:\n finally\n end', ' ========hello===========\n\n打印异常详情信息：  invalid literal for int() with base 10:\n finally\n End', '以上都正确']",B
28,Python基础,单选题,导入模块的方式错误的是,1,"['import mo', 'from mo import *', 'import mo as m', 'import m from mo']",D
29,Python基础,单选题,以下关于模块说法错误的是,1,"['一个xx.py就是一个模块', '任何一个普通的xx.py文件可以作为模块导入', '模块文件的扩展名不一定是 .py', '运行时会从制定的目录搜索导入的模块，如果没有，会报错异常']",C
30,Python基础,单选题,关于 Python 程序格式框架的描述，以下选项中错误的是,1,"['Python 语言不采用严格的“缩进”来表明程序的格式框架', 'Python 单层缩进代码属于之前最邻近的一行非缩进代码，多层缩进代码根据缩进关系决定所属范围', 'Python 语言的缩进可以采用 Tab 键实现', '判断、循环、函数等语法形式能够通过缩进包含一批 Python 代码，进而表达对应的语义']",A
31,Python基础,单选题,关于 Python 组合数据类型，以下选项中描述错误的是,1,"['Python 的 str、tuple 和 list 类型都属于序列类型', 'Python 组合数据类型能够将多个同类型或不同类型的数据组织起来，通过单一的表示使数据操作更有序、更容易', '组合数据类型可以分为 3 类：序列类型、集合类型和映射类型', '序列类型是二维元素向量，元素之间存在先后关系，通过序号访问']",D
32,Python基础,单选题,"下面代码的输出结果是

d ={""大海"":""蓝色"", ""天空"":""灰色"", ""大地"":""黑色""}
print(d[""大地""], d.get(""大地"", ""黄色""))",1,"['黑色 黄色', '黑色 黑色', '黑的 灰色', '黑色 蓝色']",B
33,Python基础,单选题,关于Python循环结构，以下选项中描述错误的是,1,"['每个continue语句只有能力跳出当前层次的循环', 'break用来跳出最内层for或者while循环，脱离该循环后程序从循环代码后继续执行', '遍历循环中的遍历结构可以是字符串、文件、组合数据类型和range()函数等', 'Python通过for、while等保留字提供遍历循环和无限循环结构']",A
34,Python基础,单选题,关于Python的lambda函数，以下选项中描述错误的是,1,"['lambda函数将函数名作为函数结果返回', 'f = lambda x,y:x+y 执行后，f的类型为数字类型', 'lambda用于定义简单的、能够在一行内表示的函数', '可以使用lambda函数定义列表的排序原则']",B
35,Python基础,单选题,"下面代码实现的功能描述的是

def fact(n):
    if n==0:
        return 1
    else:
        return n*fact(n-1)
num =eval(input(""请输入一个整数：""))
print(fact(abs(int(num))))",1,"['接受用户输入的整数 n，输出 n 的阶乘值', '接受用户输入的整数 n，判断 n 是否是素数并输出结论', '接受用户输入的整数 n，判断 n 是否是水仙花数', '接受用户输入的整数 n，判断 n 是否是完数并输出结论']",A
36,Python基础,单选题,以下选项中，不是Python对文件的打开模式的是,1,"[""'r'"", ""+'"", ""w'"", ""c'""]",D
37,Python基础,单选题,关于Python语言的浮点数类型，以下选项中描述错误的是,1,"['Python语言要求所有浮点数必须带有小数部分', '浮点数类型与数学中实数的概念一致', '小数部分不可以为0', '浮点数类型表示带有小数的类型']",C
38,Python基础,单选题,以下选项中，不是 Python 语言保留字的是,1,"['do', 'pass', 'except', 'while']",A
39,Python基础,单选题,"下面代码的输出结果是
print（0.1+0.2==0.3）",1,"['True', 'False', 'True', 'False']",B
40,Python基础,单选题,"给出如下代码,可以输出“python”的是 

s = 'Python is beautiful!'",1,"['print(s[:–14])', 'print(s[0:6].lower())', 'print(s[0:6])', 'print(s[–21: –14].lower)']",B
41,Python基础,单选题,关于Python注释，以下选项中描述错误的是,1,"['Python注释语句不被解释器过滤掉，也不被执行', '注释可以辅助程序调试', '注释可用于标明作者和版权信息', '注释用于解释代码原理或者用途']",A
42,Python基础,单选题,关于Python程序中与“缩进”有关的说法中，以下选项中正确的是,1,"['缩进统一为4个空格', '缩进是非强制性的，仅为了提高代码可读性', '缩进在程序中长度统一且强制使用', '缩进可以用在任何语句之后，表示语句间的包含关系']",C
43,Python基础,单选题,关于Python的数字类型，以下选项中描述错误的是,1,"['1.0是浮点数，不是整数', '复数类型虚部为0时，表示为1+0j', '整数类型的数值一定不会出现小数点', '浮点数也有十进制、二进制、八进制和十六进制等表示方式']",D
44,Python基础,单选题,"下面代码的输出结果是

z = 12.34 + 34j
print(z.imag)",1,"['12', '12.12', '34', '34.0 ']",D
45,Python基础,单选题,"下面代码的输出结果
x=10
y=3
print(divmod(x,y))",1,"['1,3', '(1,3)', '3,1', '(3,1)']",D
46,Python基础,单选题,"下面代码的执行结果是
a = 10.99
print(complex(a))",1,"['0.99', '(10.99+0j)', '10.99+0j', '10.99']",B
47,Python基础,单选题,"给出如下代码，下述代码的输出结果是
s = ""Alice""
print(s[::–1]",1,"['ALICE', 'ecilA', 'Alic', 'Alice']",B
48,Python基础,单选题,"下面代码的输出结果是
s = ""The python language is a cross platform language.""
print(s.find('language',30)",1,"['11', '40', '10', '系统报错']",B
49,Python基础,单选题,"random.uniform(a,b)的作用是",1,"['生成一个[a, b]之间的随机整数', '生成一个(a, b)之间的随机数', '生成一个[a, b]之间的随机小数', '生成一个均值为a，方差为b的正态分布']",C
50,Python基础,单选题,以下选项中描述正确的是,1,"['条件24<=28<25是不合法的', '条件24<=28<25是合法的，且输出为True', '条件35<=45<75是合法的，且输出为False', '条件24<=28<25是合法的，且输出为False']",D
51,Python基础,单选题,random库中用于生成随机小数的函数是,1,"['random()', 'randint()', 'getrandbits()', 'randrange()']",A
52,Python基础,单选题,关于递归函数基例的说明，以下选项中错误的是,1,"['递归函数的基例决定递归的深度', '每个递归函数都只能有一个基例', '递归函数必须有基例', '递归函数的基例不再进行递归']",B
53,Python基础,单选题,在Python中，关于全局变量和局部变量，以下选项中描述不正确的是,1,"['一个程序中的变量包含两类：全局变量和局部变量', '全局变量不能和局部变量重名', '全局变量一般没有缩进', '全局变量在程序执行的全过程有效']",B
54,Python基础,单选题,关于lambda函数，以下选项中描述错误的是,1,"['lambda不是Python的保留字', 'lambda函数也称为匿名函数', 'lambda函数将函数名作为函数结果返回', '定义了一种特殊的函数']",A
55,Python基础,单选题,以下选项中，对于函数的定义错误的是,1,"['def vfunc(*a,b):', 'def vfunc(a,b):', 'def vfunc(a,*b):', 'def vfunc(a,b=2):']",A
56,Python基础,单选题,关于Python的元组类型，以下选项中描述错误的是,1,"['一个元组可以作为另一个元组的元素，可以采用多级索引获取信息', '元组一旦创建就不能被修改', 'Python中元组采用逗号和圆括号（可选）来表示', '元组中元素不可以是不同类型']",D
57,Python基础,单选题,以下选项中不能生成一个空字典的是,1,"['{}', 'dict([])', '{[]}', 'dict()']",C
58,Python基础,单选题,给定字典d，以下选项中对d.keys()的描述正确的是,1,"['返回一个列表类型，包括字典d中所有键', '返回一个集合类型，包括字典d中所有键', '返回一种dict_keys类型，包括字典d中所有键', '返回一个元组类型，包括字典d中所有键']",C
59,Python基础,单选题,给定字典d，以下选项中对d.values()的描述正确的是,1,"['返回一种dict_values类型，包括字典d中所有值', '返回一个集合类型，包括字典d中所有值', '返回一个元组类型，包括字典d中所有值', '返回一个列表类型，包括字典d中所有值']",A
60,Python基础,单选题,给定字典d，以下选项中对d.items()的描述正确的是,1,"['返回一种dict_items类型，包括字典d中所有键值对', '返回一个元组类型，每个元素是一个二元元组，包括字典d中所有键值对', '返回一个列表类型，每个元素是一个二元元组，包括字典d中所有键值对', '返回一个集合类型，每个元素是一个二元元组，包括字典d中所有键值对']",A
61,Python基础,单选题,给定字典d，以下选项中对x in d的描述正确的是,1,"['x是一个二元元组，判断x是否是字典d中的键值对', '判断x是否是字典d中的键', '判断x是否是在字典d中以键或值方式存在', '判断x是否是字典d中的值']",B
62,Python基础,单选题,"下面代码的输出结果是
dict = {'a': 1, 'b': 2, 'b': '3'};
temp = dict['b']
print(temp)",1,"['1', '{ 'b' : 2 }', '3', '2']",C
63,Python基础,单选题,关于CSV文件的描述，以下选项中错误的是,1,"['*CSV文件格式是一种通用的、相对简单的文件格式，应用于程序之间转移表格数据', '*CSV文件通过多种编码表示字符', '整个CSV文件是一个二维数据', '*CSV文件的每一行是一维数据，可以使用Python中的列表类型表示']",B
64,Python基础,单选题,关于函数的可变参数，可变参数*args传入函数时存储的类型是,1,"['dict', 'tuple', 'list', 'set']",B
65,Python基础,单选题,python不支持的数据类型有,1,"['char', 'int', 'float', 'list']",A
66,Python基础,单选题,"输出是什么
x =""foo""
y = 2
print(x+y)",1,"['foo', 'foofoo', 'foo2', 'TypeError']",D
67,Python基础,单选题,关于字符串下列说法错误的是,1,"['字符串应该视为长度为1的字符串', '字符串可以转化成数字', '既可以用单引号，也可以用双引号创建字符串', '在三引号字符串中可以包含换行回车等特殊字符']",A
68,Python基础,单选题,以下不能创建一个字典的语句是,1,"['dic1 = {}', 'dic2 = {123:345}', ""dic3 = {[1,2,3]:'uestc'}"", ""dic3 = {(1,2,3):'uestc'}""]",C
69,Python基础,单选题,下面的语句哪个会无限循环下去,1,"['for a in range(10):\n    time.sleep(10)', 'while 1<10:\n    time.sleep(10)', 'while True:\n    break', ""a = [3,-1,',']\nfor i in a[:]:\n       if not a: break""]",B
70,Python基础,单选题,以下关于循环结构的描述，错误的是,1,"['遍历循环使用for <循环变量> in <循环结构>语句，其中循环结构不能是文件', '使用range()函数可以指定for循环的次数', ' for i in range(5)表示循环5次，i的值是从0到4', '用字符串做循环结构的时候，循环的次数是字符串的长度']",A
71,Python基础,单选题,关于 Python 的分支结构，以下选项中描述错误的是,1,"['分支结构使用 if 保留字', 'Python 中 if-else 语句用来形成二分支结构', 'Python 中 if-elif-else 语句描述多分支结构', '分支结构可以向已经执行过的语句部分跳转']",D
72,Python基础,单选题,"下面代码的输出结果是
x = 12.34
print(type(x))",1,"['<class ‘int’>', '<class ‘float’>', '<class ‘bool’>', ' <class ‘complex’>']",B
73,Python基础,单选题,"下面代码的执行结果
a = 10.99
print(complex(a))",1,"['10.99+j', '10.99', '0.99', '(10.99+0j)']",D
74,Python基础,单选题,"下面代码的输出结果是
l = [“F”,“f”]
def fun(a):
    l.append(a)
return
fun(“C”)
print(l)",1,"['[‘F’, ‘f’]', '[‘C’]', '出错', '[‘F’, ‘f’, ‘C’]']",D
75,Python基础,单选题,"以下语句执行后a、b、c的值是
a = “watermelon”
b = “strawberry”
c = “cherry”
if a > b:
    c = a
    a = b
    b = c",1,"['watermelon strawberry cherry', 'watermelon cherry strawberry', 'strawberry cherry watermelon', 'strawberry watermelon watermelon']",D
76,Python基础,多选题,"函数如下

def chanageList(list):

    list.append("" end"")

print(""list"",list)

#调用

strs =['1','2']

chanageList()

print(""strs"",strs)

下面对 strs 和 list 的值输出正确的是",1,"[""strs ['1','2']"", ""list  ['1','2']"", ""list ['1','2',’end’] "", ""strs  ['1','2',’end’]  ""]","C,D"
77,Python基础,多选题,下列Python语句正确的是,1,"['min = x if x < y else y', 'max = x > y ? x : y', 'if(x>y) print(x)', 'while True:pass']","A,D"
78,Python基础,多选题,"下面的代码，哪些是输出1,2,3三个数字(多选,选错不得分)",1,"['for i in range(3): \n\n   print(i)\n\n   print(i+1)', 'aList = [0,1,2]\n\nfor i in aList:\n\n   print(i+1)', 'i = 1\n\nwhile i < 3:\n\n   print(i)\n\n   i+=1', 'for i in range(3):\n\n   print(i+1)']","B,D"
79,Python基础,多选题,下列的函数转换哪一个是正确的,1,"['int(""abcdef"")    ValueError', 'float(''') SyntaxError', 'bool((3,';')) SyntaxError', 'str(') SyntaxError']","B,D"
80,Python基础,多选题,"定义类如下：

class hello():
    def showInfo(sef):
        print(self.x)
下面描述正确的是",1,"['该类不可以实例化', '该类可以实例化', '在pycharm 工具中会出现语法错误，说self没有定义', '该类可以实例化，并且能正常通过对象调用showInfo()']","A,C"
81,Python基础,多选题,下面哪些是 有效的类构造函数？,1,"['def_Init_(self):', 'def_init_(self,var=0):', 'def_init_():', 'def_init_(self,a,b,c):']","A,B,D"
82,Python基础,多选题, Python中的注释符有那几种?,1,"['#...', '//…', '/*…*/', ""''…'''""]","A,D"
83,Python基础,多选题,哪两种文件打开效果相同?,1,"['open(filename,'r')', 'open(filename,'w+')', 'open(filename,'rb')', 'open(filename,'w')']","B,D"
84,Python基础,多选题,"Python中列表切片操作非常方便,若 m = range(100)以下哪种形式是正确的?",1,"[' m[-3]', 'm[-2:13]', 'm[::3]', 'm[2-3]']","A,B,C,D"
85,机器学习与深度学习,单选题,关于 Logit 回归和 SVM 不正确的是,1,"['Logit回归目标函数是最小化后验概率', 'Logit回归可以用于预测事件发生概率的大小', 'SVM目标是结构风险最小化', 'SVM可以有效避免模型过拟合']",A
86,机器学习与深度学习,单选题,"关于支持向量机SVM,下列说法错误的是",1,"['L2正则项，作用是最大化分类间隔，使得分类器拥有更强的泛化能力', 'Hinge 损失函数，作用是最小化经验分类错误', '分类间隔为，||w||代表向量的模', '当参数C越小时，分类间隔越大，分类错误越多，趋于欠学习']",C
87,机器学习与深度学习,单选题,决策树的父节点和子节点的熵的大小关系是什么？,1,"['决策树的父节点更大', '子节点的熵更大', '两者相等', '根据具体情况而定']",B
88,机器学习与深度学习,单选题,以下哪种方法属于判别式模型(discriminative model),1,"['隐马模型(HMM)', '朴素贝叶斯', 'LDA', '支持向量机']",D
89,机器学习与深度学习,单选题,下面关于ID3算法中说法错误的是,1,"['ID3算法要求特征必须离散化', '信息增益可以用熵，而不是GINI系数来计算', '选取信息增益最大的特征，作为树的根节点', 'ID3算法是一个二叉树模型']",D
90,机器学习与深度学习,单选题,以下属于欧式距离特性的有,1,"['旋转不变性', '尺度缩放不变性', '不受量纲影响的特性']",A
91,机器学习与深度学习,单选题,如果以特征向量的相关系数作为模式相似性测度，则影响聚类算法结果的主要因素有,1,"['已知类别样本质量', '分类准则', '量纲']",B
92,机器学习与深度学习,单选题,一监狱人脸识别准入系统用来识别待进入人员的身份，此系统一共包括识别4种不同的人员：狱警，小偷，送餐员，其他。下面哪种学习方法最适合此种应用需求：,1,"['二分类问题', '多分类问题', '层次聚类问题', 'k-中心点聚类问题', '回归问题', '结构分析问题']",B
93,机器学习与深度学习,单选题,以下说法中错误的是,1,"['SVM对噪声（如来自其他分部的噪声样本）具备鲁棒性', '在adaboost算法中，所有被分错样本的权重更新比例不相同', 'boosting和bagging都是组合多个分类器投票的方法，二者都是根据单个分类器的正确率确定其权重', '给定n个数据点，如果其中一半用于训练，一半用户测试，则训练误差和测试误差之间的差别会随着n的增加而减少的']",C
94,机器学习与深度学习,单选题,位势函数法的积累势函数K(x)的作用相当于Bayes判决中的,1,"['后验概率', '先验概率', '类概率密度', '类概率密度与先验概率的和']",A
95,机器学习与深度学习,单选题,下列哪些不特别适合用来对高维数据进行降维,1,"['LASSO', '主成分分析法', '聚类分析', '小波分析法', '线性判别法', '拉普拉斯特征映射']",C
96,机器学习与深度学习,单选题,对数几率回归（logistics regression）和一般回归分析有什么区别？,1,"['对数几率回归是设计用来预测事件可能性的', '对数几率回归可以用来度量模型拟合程度', '对数几率回归可以用来估计回归系数', '以上所有']",D
97,机器学习与深度学习,单选题,在一个n维的空间中， 最好的检测outlier(离群点)的方法是,1,"['作正态分布概率图', '作盒形图', '马氏距离', '作散点图']",C
98,机器学习与深度学习,单选题,一般，k-NN最近邻方法在（ ）的情况下效果较好,1,"['样本较多但典型性不好', '样本较少但典型性好', '样本呈团状分布', '样本呈链状分布']",B
99,机器学习与深度学习,单选题,"我们想在大数据集上训练决策树, 为了使用较少时间, 我们可以",1,"['增加树的深度', '增加学习率 (learning rate)', '减少树的深度', '减少树的数量']",C
100,机器学习与深度学习,单选题,符号集 a 、 b 、 c 、 d ，它们相互独立，相应概率为 1/2 、 1/4 、 1/8/ 、 1/16 ，其中包含信息量最小的符号是,1,"['a', 'b', 'c', 'd']",A
101,机器学习与深度学习,单选题,在数据清理中，下面哪个不是处理缺失值的方法?,1,"['估算', '整例删除', '变量删除', '成对删除']",D
102,机器学习与深度学习,单选题,逻辑回归与多元回归分析有哪些不同？,1,"['逻辑回归预测某事件发生的概率', '逻辑回归有较高的拟合效果', '逻辑回归回归系数的评估', '以上全选']",D
103,机器学习与深度学习,单选题,SVM的效率依赖于,1,"['核函数的选择', '核参数', '软间隔参数', '以上所有']",D
104,机器学习与深度学习,单选题,训练SVM的最小时间复杂度为O(n2)，那么一下哪种数据集不适合用SVM?,1,"['大数据集', '小数据集', '中等大小数据集', '和数据集大小无关']",A
105,机器学习与深度学习,单选题,关于SVM泛化误差描述正确的是,1,"['超平面与支持向量之间距离', 'SVM对未知数据的预测能力', 'SVM的误差阈值']",B
106,机器学习与深度学习,单选题,如果我使用数据集的全部特征并且能够达到100%的准确率，但在测试集上仅能达到70%左右，这说明,1,"['欠拟合', '模型很棒', '过拟合']",C
107,机器学习与深度学习,单选题,SVM中的代价参数表示,1,"['交叉验证的次数', '使用的核', '误分类与模型复杂性之间的平衡', '以上均不是']",C
108,机器学习与深度学习,单选题,SVM中使用高斯核函数之前通常会进行特征归一化，以下关于特征归一化描述不正确的是？,1,"['经过特征正则化得到的新特征优于旧特征', '特征归一化无法处理类别变量', 'SVM中使用高斯核函数时，特征归一化总是有用的']",C
109,机器学习与深度学习,单选题,假设你训练SVM后，得到一个线性决策边界，你认为该模型欠拟合。假如你想修改SVM的参数，同样达到模型不会欠拟合的效果，应该怎么做？,1,"['增大参数C', '减小参数C', '改变C并不起作用', '以上均不正确']",A
110,机器学习与深度学习,单选题,假设你训练SVM后，得到一个线性决策边界，你认为该模型欠拟合。在下次迭代训练模型时，应该考虑,1,"['增加训练数据', '减少训练数据', '计算更多变量', '减少特征']",C
111,机器学习与深度学习,单选题,下面哪个属于SVM应用,1,"['文本和超文本分类', '图像分类', '新文章聚类', '以上均是']",D
112,机器学习与深度学习,单选题,假设现在只有两个类，这种情况下SVM需要训练几次？,1,"['1', '2', '3', '4']",A
113,机器学习与深度学习,单选题,以下哪种算法不能用于降低数据的维数？,1,"['t-SNE', 'PCA', 'LDA', '都不是']",D
114,机器学习与深度学习,单选题,以下哪种技术对于减少数据集的维度会更好？,1,"['删除缺少值太多的列', '删除数据差异较大的列', '删除不同数据趋势的列', '都不是']",A
115,机器学习与深度学习,单选题,假设正在处理10类分类问题，并且想知道LDA最多可以产生几个判别向量。以下哪个是正确答案？,1,"['20', '9', '21', '11']",B
116,机器学习与深度学习,单选题,分析逻辑回归表现的一个良好的方法是AIC，它与线性回归中的R平方相似。有关AIC，以下哪项是正确的？,1,"['具有最小AIC值的模型更好', '具有最大AIC值的模型更好', '视情况而定', '以上都不是']",A
117,机器学习与深度学习,单选题,在逻辑回归输出与目标对比的情况下，以下评估指标中哪一项不适用？,1,"['AUC-ROC', '准确度', 'Logloss', '均方误差']",D
118,机器学习与深度学习,单选题,使用以下哪种算法进行变量选择？,1,"['LASSO', 'Ridge', '两者', '都不是']",A
119,机器学习与深度学习,单选题,以下哪些选项为真？,1,"['线性回归误差值必须正态分布，但是在Logistic回归的情况下，情况并非如此', '逻辑回归误差值必须正态分布，但是在线性回归的情况下，情况并非如此', '线性回归和逻辑回归误差值都必须正态分布', '线性回归和逻辑回归误差值都不能正态分布']",A
120,机器学习与深度学习,单选题,所谓几率，是指发生概率和不发生概率的比值。所以，抛掷一枚正常硬币，正面朝上的几率（odds）为多少？,1,"['0.5', '1', '都不是']",B
121,机器学习与深度学习,单选题,如果以特征向量的相关系数作为模式相似性测度，则影响聚类算法结果的主要因素有,1,"['已知类别样本质量', '分类准则', '量纲']",B
122,机器学习与深度学习,单选题,假设，下图是逻辑回归的代价函数，现在，图中有多少个局部最小值？,1,"['1', '2', '3', '4']",D
123,机器学习与深度学习,单选题,在统计模式分类问题中，当先验概率未知时，可以使用,1,"['最小损失准则', '最小最大损失准则', '最小误判概率准则']",B
124,机器学习与深度学习,单选题,影响基本K-均值算法的主要因素有,1,"['Boosting', 'Bagging', 'Stacking', 'Mapping']",B
125,机器学习与深度学习,单选题,以下不属于影响聚类算法结果的主要因素有,1,"['已知类别的样本质量', '分类准则', '特征选取', '模式相似性测度']",A
126,机器学习与深度学习,单选题,"对于任意值“x”，考虑到（） 
Logistic（x）：是任意值“x”的逻辑（Logistic）函数
Logit（x）：是任意值“x”的logit函数
Logit_inv（x）：是任意值“x”的逆逻辑函数
以下哪一项是正确的？",1,"['Logistic（x）= Logit（x）', 'Logistic（x）= Logit_inv（x）', 'Logit_inv（x）= Logit（x）', '都不是']",B
127,机器学习与深度学习,单选题,下面哪个选项中哪一项属于确定性算法？,1,"['PCA', 'K-Means', '以上都不是']",A
128,机器学习与深度学习,单选题,选择Logistic回归中的One-Vs-All方法中的哪个选项是真实的,1,"['我们需要在n类分类问题中适合n个模型', '我们需要适合n-1个模型来分类为n个类', '我们需要只适合1个模型来分类为n个类', '这些都没有']",A
129,机器学习与深度学习,单选题,"下面哪个/些超参数的增加可能会造成随机森林数据过拟合？（）
1 树的数量
2 树的深度
3 学习速率",1,"['只有 1', '只有 2', '只有 3', '都正确']",B
130,机器学习与深度学习,单选题,"下面哪一项对梯度下降（GD）和随机梯度下降（SGD）的描述是正确的？ （）
1 在 GD 和 SGD 中，每一次迭代中都是更新一组参数以最小化损失函数。
2 在 SGD 中，每一次迭代都需要遍历训练集中的所有样本以更新一次参数。
3 在 GD 中，每一次迭代需要使用整个训练集或子训练集的数据更新一个参数。",1,"['只有 1', '只有 2', '只有 3', '都正确']",A
131,机器学习与深度学习,单选题,"下面哪个/些对「类型 1（Type-1）」和「类型 2（Type-2）」错误的描述是正确的？（）
类型 1 通常称之为假正类，类型 2 通常称之为假负类。
类型 2 通常称之为假正类，类型 1 通常称之为假负类。
类型 1 错误通常在其是正确的情况下拒绝假设而出现。",1,"['只有 1', '只有 2', '只有 3', '1和3']",D
132,机器学习与深度学习,单选题,假定你在神经网络中的隐藏层中使用激活函数假定你在神经网络中的隐藏层中使用激活函数 X。在特定神经元给定任意输入，你会得到输出「-0.0001」。X 可能是以下哪一个激活函数？,1,"['ReLU', 'tanh', 'SIGMOID', '以上都是']",B
133,机器学习与深度学习,单选题,"假定你正在处理类属特征，并且没有查看分类变量在测试集中的分布。现在你想将 one hot encoding（OHE）应用到类属特征中。
那么在训练集中将 OHE 应用到分类变量可能要面临的困难是什么？",1,"['分类变量所有的类别没有全部出现在测试集中', '类别的频率分布在训练集和测试集是不同的', '训练集和测试集通常会有一样的分布', 'A 和 B 都正确']",D
134,机器学习与深度学习,单选题,在线性回归问题中，我们用“R方”来衡量拟合的好坏。在线性回归模型中增加特征值并再训练同一模型。下列哪一项是正确的？,1,"['如果R方上升，则该变量是显著的', '如果R方下降，则该变量不显著', '单单R方不能反映变量重要性，不能就此得出正确结论', '都不正确']",C
135,机器学习与深度学习,单选题,假设线性回归模型完美拟合训练数据（即训练误差为零），则下列哪项是正确的？,1,"['测试误差一定为零', '测试误差一定不为零', '以上都不对']",C
